symboling,normalized_losses,make,fuel_type,num_doors,body_style,wheel_drive,Engine_location,wheel_base,length,width,height,curb_weight,engine_type,engine-size,fuel_system,stroke,compression_ratio,horsepower,price
0,110.0,honda,gas,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,92,1bbl,3.41,9.2,76,7295.0
0,78.0,honda,gas,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,92,1bbl,3.41,9.2,76,7295.0
0,106.0,honda,gas,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,110,1bbl,3.58,9.0,86,7895.0
0,106.0,honda,gas,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,110,1bbl,3.58,9.0,86,9095.0
0,85.0,honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,110,1bbl,3.58,9.0,86,8845.0
0,85.0,honda,gas,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,110,1bbl,3.58,9.0,86,10295.0
0,85.0,honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,110,mpfi,3.58,9.0,101,12945.0
1,107.0,honda,gas,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,110,2bbl,3.58,9.1,100,10345.0
0,145.0,Elite,gas,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,Pushrod,258,mpfi,4.17,8.1,176,32250.0
1,104.0,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,91,2bbl,3.15,9.0,68,5195.0
1,104.0,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,91,2bbl,3.15,9.0,68,6095.0
1,104.0,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,91,2bbl,3.15,9.0,68,6795.0
1,113.0,mazda,gas,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,91,2bbl,3.15,9.0,68,6695.0
1,113.0,mazda,gas,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,91,2bbl,3.15,9.0,68,7395.0
1,129.0,mazda,gas,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,122,2bbl,3.39,8.6,84,8845.0
0,115.0,mazda,gas,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,122,2bbl,3.39,8.6,84,8495.0
1,129.0,mazda,gas,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,122,2bbl,3.39,8.6,84,10595.0
0,115.0,mazda,gas,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,122,2bbl,3.39,8.6,84,10245.0
0,115.0,mazda,gas,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,122,2bbl,3.39,8.6,84,11245.0
0,118.0,mazda,gas,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,140,mpfi,3.16,8.0,120,18280.0
-1,93.0,Executive,diesel,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,183,idi,3.64,21.5,123,25552.0
-1,93.0,Executive,diesel,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,183,idi,3.64,21.5,123,28248.0
0,93.0,Executive,diesel,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,183,idi,3.64,21.5,123,28176.0
-1,93.0,Executive,diesel,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,183,idi,3.64,21.5,123,31600.0
3,142.0,Executive,gas,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,Pushrod,234,mpfi,3.1,8.3,155,35056.0
2,161.0,mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,92,2bbl,3.23,9.4,68,5389.0
2,161.0,mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,92,2bbl,3.23,9.4,68,6189.0
2,161.0,mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,92,2bbl,3.23,9.4,68,6669.0
1,161.0,mitsubishi,gas,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,98,spdi,3.39,7.6,102,7689.0
3,153.0,mitsubishi,gas,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,110,spdi,3.46,7.5,116,9959.0
3,153.0,mitsubishi,gas,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,122,2bbl,3.46,8.5,88,8499.0
1,125.0,mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,122,2bbl,3.46,8.5,88,6989.0
1,125.0,mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,122,2bbl,3.46,8.5,88,8189.0
1,125.0,mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,110,spdi,3.46,7.5,116,9279.0
-1,137.0,mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,110,spdi,3.46,7.5,116,9279.0
1,128.0,nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,97,2bbl,3.29,9.4,69,5499.0
1,128.0,nissan,diesel,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,103,idi,3.47,21.9,55,7099.0
1,128.0,nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,97,2bbl,3.29,9.4,69,6649.0
1,122.0,nissan,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,97,2bbl,3.29,9.4,69,6849.0
1,103.0,nissan,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,97,2bbl,3.29,9.4,69,7349.0
1,128.0,nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,97,2bbl,3.29,9.4,69,7299.0
1,128.0,nissan,gas,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,97,2bbl,3.29,9.4,69,7799.0
1,122.0,nissan,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,97,2bbl,3.29,9.4,69,7499.0
1,103.0,nissan,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,97,2bbl,3.29,9.4,69,7999.0
2,168.0,nissan,gas,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,97,2bbl,3.29,9.4,69,8249.0
0,106.0,nissan,gas,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,120,2bbl,3.47,8.5,97,8949.0
0,106.0,nissan,gas,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,120,2bbl,3.47,8.5,97,9549.0
0,128.0,nissan,gas,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,Pushrod,181,mpfi,3.27,9.0,152,13499.0
0,108.0,nissan,gas,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,Pushrod,181,mpfi,3.27,9.0,152,14399.0
0,108.0,nissan,gas,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,Pushrod,181,mpfi,3.27,9.0,152,13499.0
3,194.0,nissan,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,Pushrod,181,mpfi,3.27,9.0,160,17199.0
3,194.0,nissan,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,Pushrod,181,mpfi,3.27,7.8,200,19699.0
1,231.0,nissan,gas,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,Pushrod,181,mpfi,3.27,9.0,160,18399.0
0,161.0,peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,Pushrod,120,mpfi,3.19,8.4,97,11900.0
0,161.0,peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,Pushrod,152,idi,3.52,21.0,95,13200.0
0,161.0,peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,Pushrod,120,mpfi,2.19,8.4,95,15580.0
0,161.0,peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,Pushrod,152,idi,3.52,21.0,95,16900.0
0,161.0,peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,Pushrod,120,mpfi,3.19,8.4,97,16630.0
0,161.0,peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,Pushrod,152,idi,3.52,21.0,95,17950.0
0,161.0,peugot,gas,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,Pushrod,134,mpfi,3.21,7.0,142,18150.0
1,119.0,plymouth,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,90,2bbl,3.23,9.4,68,5572.0
1,119.0,plymouth,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,98,spdi,3.39,7.6,102,7957.0
1,154.0,plymouth,gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,90,2bbl,3.23,9.4,68,6229.0
1,154.0,plymouth,gas,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,90,2bbl,3.23,9.4,68,6692.0
1,154.0,plymouth,gas,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,98,2bbl,3.23,9.4,68,7609.0
-1,74.0,plymouth,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,122,2bbl,3.46,8.5,88,8921.0
3,186.0,Elite,gas,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,151,mpfi,3.11,9.5,143,22018.0
3,150.0,Executive,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,121,mpfi,3.07,9.31,110,11850.0
2,104.0,Executive,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,121,mpfi,3.07,9.3,110,12170.0
3,150.0,Executive,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,121,mpfi,2.07,9.3,110,15040.0
2,104.0,Executive,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,121,mpfi,3.07,9.3,110,15510.0
3,150.0,Executive,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,Pushrod,121,mpfi,3.07,9.0,160,18150.0
2,104.0,Executive,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,Pushrod,121,mpfi,3.07,9.0,160,18620.0
2,83.0,subaru,gas,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,97,2bbl,2.36,9.0,69,5118.0
2,83.0,subaru,gas,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,108,2bbl,2.64,8.7,73,7053.0
2,83.0,subaru,gas,two,hatchback,fwd,front,93.3,157.3,63.8,55.7,2240,ohcf,108,2bbl,2.64,8.7,73,7603.0
0,102.0,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,108,2bbl,2.64,9.5,82,7126.0
0,102.0,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,108,2bbl,2.64,9.5,82,7775.0
0,102.0,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,108,mpfi,2.64,9.0,94,9960.0
0,102.0,subaru,gas,four,sedan,fwd,front,97.0,172.0,65.4,54.3,2385,ohcf,108,2bbl,2.64,9.0,82,9233.0
0,102.0,subaru,gas,four,sedan,fwd,front,97.0,172.0,65.4,54.3,2510,ohcf,108,mpfi,2.64,7.7,111,11259.0
0,89.0,subaru,gas,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,108,2bbl,2.64,9.0,82,7463.0
0,89.0,subaru,gas,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,108,mpfi,2.64,9.0,94,10198.0
0,85.0,subaru,gas,four,wagon,fwd,front,96.9,173.6,65.4,54.9,2420,ohcf,108,2bbl,2.64,9.0,82,8013.0
0,85.0,subaru,gas,four,wagon,fwd,front,96.9,173.6,65.4,54.9,2650,ohcf,108,mpfi,2.64,7.7,111,11694.0
1,87.0,toyota,gas,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,92,2bbl,3.03,9.0,62,5348.0
1,87.0,toyota,gas,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,92,2bbl,3.03,9.0,62,6338.0
1,74.0,toyota,gas,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,92,2bbl,3.03,9.0,62,6488.0
0,77.0,toyota,gas,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,92,2bbl,3.03,9.0,62,6918.0
0,81.0,toyota,gas,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2290,ohc,92,2bbl,3.03,9.0,62,7898.0
0,91.0,toyota,gas,four,wagon,fwd,front,95.7,169.7,63.6,59.1,3110,ohc,92,2bbl,3.03,9.0,62,8778.0
0,91.0,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,98,2bbl,3.03,9.0,70,6938.0
0,91.0,toyota,gas,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,98,2bbl,3.03,9.0,70,7198.0
0,91.0,toyota,diesel,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,ohc,110,idi,3.35,22.5,56,7898.0
0,91.0,toyota,diesel,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,110,idi,3.35,22.5,56,7788.0
0,91.0,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,98,2bbl,3.03,9.0,70,7738.0
0,91.0,toyota,gas,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,98,2bbl,3.03,9.0,70,8358.0
0,91.0,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,98,2bbl,3.03,9.0,70,9258.0
1,168.0,toyota,gas,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,ohc,98,2bbl,3.03,9.0,70,8058.0
1,168.0,toyota,gas,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,ohc,98,2bbl,3.03,9.0,70,8238.0
1,168.0,toyota,gas,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,Pushrod,98,mpfi,3.08,9.4,112,9298.0
1,168.0,toyota,gas,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,Pushrod,98,mpfi,3.08,9.4,112,9538.0
2,134.0,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,ohc,146,mpfi,3.5,9.3,116,8449.0
2,134.0,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,ohc,146,mpfi,3.5,9.3,116,9639.0
2,134.0,toyota,gas,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,ohc,146,mpfi,3.5,9.3,116,9989.0
2,134.0,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,ohc,146,mpfi,3.5,9.3,116,11199.0
2,134.0,toyota,gas,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,146,mpfi,3.5,9.3,116,11549.0
2,134.0,toyota,gas,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,ohc,146,mpfi,3.5,9.3,116,17669.0
-1,65.0,toyota,gas,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,122,mpfi,3.54,8.7,92,8948.0
-1,65.0,toyota,diesel,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,110,idi,3.35,22.5,73,10698.0
-1,65.0,toyota,gas,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,122,mpfi,3.54,8.7,92,9988.0
-1,65.0,toyota,gas,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,122,mpfi,3.54,8.7,92,10898.0
-1,65.0,toyota,gas,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,122,mpfi,3.54,8.7,92,11248.0
3,197.0,toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,Pushrod,171,mpfi,3.35,9.3,161,16558.0
3,197.0,toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,Pushrod,171,mpfi,3.35,9.3,161,15998.0
-1,90.0,toyota,gas,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,Pushrod,171,mpfi,3.35,9.2,156,15690.0
2,122.0,volkswagen,diesel,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,97,idi,3.4,23.0,52,7775.0
2,122.0,volkswagen,gas,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,109,mpfi,3.4,9.0,85,7975.0
2,94.0,volkswagen,diesel,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,97,idi,3.4,23.0,52,7995.0
2,94.0,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,109,mpfi,3.4,9.0,85,8195.0
2,94.0,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,109,mpfi,3.4,9.0,85,8495.0
2,94.0,volkswagen,diesel,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,97,idi,3.4,23.0,68,9495.0
2,94.0,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,109,mpfi,3.4,10.0,100,9995.0
3,256.0,volkswagen,gas,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,ohc,109,mpfi,3.4,8.5,90,9980.0
-2,103.0,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,141,mpfi,3.15,9.5,114,12940.0
-1,74.0,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,141,mpfi,3.15,9.5,114,13415.0
-2,103.0,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,141,mpfi,3.15,9.5,114,15985.0
-1,74.0,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,141,mpfi,3.15,9.5,114,16515.0
-2,103.0,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,130,mpfi,3.15,7.5,162,18420.0
-1,74.0,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,130,mpfi,3.15,7.5,162,18950.0
-1,95.0,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,141,mpfi,3.15,9.5,114,16845.0
-1,95.0,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,141,mpfi,3.15,8.7,160,19045.0
-1,95.0,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,Pushrod,173,mpfi,2.87,8.8,134,21485.0
-1,95.0,volvo,diesel,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,145,idi,3.4,23.0,106,22470.0
-1,95.0,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,141,mpfi,3.15,9.5,114,22625.0
